file,n_rows,t0_ms,t1_ms
Subj_02_Isokin_L_02kg_80bpm_EMG_data.csv,28200,1600945184616.0,1600945239712.83
Subj_02_Isokin_L_02kg_St_EMG_data.csv,16200,1600945008986.0,1600945038611.66
Subj_02_Isokin_L_04kg_40bpm_EMG_data.csv,35250,1600945668955.0,1600945736681.96
Subj_02_Isokin_L_04kg_60bpm_EMG_data.csv,29550,1600945747811.0,1600945805235.33
Subj_02_Isokin_L_04kg_80bpm_EMG_data.csv,31750,1600945813033.0,1600945874942.0
Subj_02_Isokin_L_04kg_St_EMG_data.csv,16050,1600945627019.0,1600945656840.52
Subj_02_Isokin_R_02kg_40bpm_EMG_data.csv,34200,1600944783232.0,1600944846795.72
Subj_02_Isokin_R_02kg_60bpm_EMG_data.csv,32800,1600944867483.0,1600944929934.03
Subj_02_Isokin_R_02kg_80bpm_EMG_data.csv,31500,1600944935088.0,1600944993494.96
Subj_02_Isokin_R_02kg_St_EMG_data.csv,13800,1600944736861.0,1600944762178.26
Subj_02_Isokin_R_04kg_40bpm_EMG_data.csv,35850,1600945386989.0,1600945453671.99
Subj_02_Isokin_R_04kg_60bpm_EMG_data.csv,34800,1600945466175.0,1600945532357.67
Subj_02_Isokin_R_04kg_80bpm_EMG_data.csv,30300,1600945543198.0,1600945602087.24
Subj_02_Isokin_R_04kg_St_EMG_data.csv,16050,1600945337967.0,1600945367620.04
Subj_02_MMH_Bim_L_02kg_Trial_1_EMG_data.csv,44100,1600941956332.0,1600942039469.81
Subj_02_MMH_Bim_L_02kg_Trial_2_EMG_data.csv,34427,1600942103695.0,1600942170252.49
Subj_02_MMH_Bim_L_02kg_Trial_3_EMG_data.csv,38500,1600942173724.0,1600942247103.32
Subj_02_MMH_Bim_L_08kg_Trial_1_EMG_data.csv,43450,1600942272461.0,1600942353567.21
Subj_02_MMH_Bim_L_08kg_Trial_2_EMG_data.csv,32850,1600942354814.0,1600942417825.38
Subj_02_MMH_Bim_L_08kg_Trial_3_EMG_data.csv,36850,1600942429909.0,1600942501061.04
Subj_02_MMH_Bim_L_12kg_Trial_1_EMG_data.csv,31800,1600942580312.0,1600942640990.95
Subj_02_MMH_Bim_L_12kg_Trial_2_EMG_data.csv,32100,1600942649834.0,1600942712668.42
Subj_02_MMH_Bim_L_12kg_Trial_3_EMG_data.csv,31950,1600943294167.0,1600943353127.57
Subj_02_MMH_Bim_R_02kg_Trial_1_EMG_data.csv,41250,1600941960978.0,1600942041542.45
Subj_02_MMH_Bim_R_02kg_Trial_2_EMG_data.csv,32100,1600942105732.0,1600942167892.47
Subj_02_MMH_Bim_R_02kg_Trial_3_EMG_data.csv,34800,1600942175815.0,1600942241640.84
Subj_02_MMH_Bim_R_08kg_Trial_1_EMG_data.csv,39150,1600942274750.0,1600942348135.26
Subj_02_MMH_Bim_R_08kg_Trial_2_EMG_data.csv,32850,1600942356869.0,1600942420738.49
Subj_02_MMH_Bim_R_08kg_Trial_3_EMG_data.csv,37150,1600942431622.0,1600942503217.27
Subj_02_MMH_Bim_R_12kg_Trial_1_EMG_data.csv,31350,1600942582079.0,1600942642672.27
Subj_02_MMH_Bim_R_12kg_Trial_2_EMG_data.csv,33150,1600942652032.0,1600942715861.63
Subj_02_MMH_Bim_R_12kg_Trial_3_EMG_data.csv,30900,1600943298433.0,1600943354950.41
Subj_02_MMH_One_L_02kg_Trial_1_EMG_data.csv,34750,1600943890193.0,1600943954032.41
Subj_02_MMH_One_L_02kg_Trial_2_EMG_data.csv,36850,1600943951544.0,1600944021238.63
Subj_02_MMH_One_L_02kg_Trial_3_EMG_data.csv,32050,1600944022872.0,1600944083245.56
