file,n_nan,dt_med_ms,dt_min_ms,dt_max_ms,n_gaps,n_nonmono,raw_mean_1,raw_std_1,raw_absmax_1,raw_mean_2,raw_std_2,raw_absmax_2,raw_mean_3,raw_std_3,raw_absmax_3,raw_mean_4,raw_std_4,raw_absmax_4,raw_mean_5,raw_std_5,raw_absmax_5,raw_mean_6,raw_std_6,raw_absmax_6,raw_mean_7,raw_std_7,raw_absmax_7,raw_mean_8,raw_std_8,raw_absmax_8,rms_p99_1,normv_max_1,rms_p99_2,normv_max_2,rms_p99_3,normv_max_3,rms_p99_4,normv_max_4,rms_p99_5,normv_max_5,rms_p99_6,normv_max_6,rms_p99_7,normv_max_7,rms_p99_8,normv_max_8
Subj_01_Isokin_L_02kg_40bpm_EMG_data.csv,0,1.43994140625,1.43994140625,1.4501953125,0,0,0.0006073173124050863,0.0005231972577416505,0.0187468529,-0.0015998402446920981,0.00042822414812003257,0.0032132149,-0.0011370655296203452,0.000459704545814397,0.0021039965,-0.0019373109220090828,0.000590218122112152,0.0040400508,-0.006250756712267031,0.00018646505799999754,0.0069974903,-0.005779327872683015,0.00020147411408473823,0.0066201212,-0.001164401707184378,0.0003926663647140446,0.0026247026,0.0004552777501380563,0.00030171116081359147,0.0022953989,142.59734952985292,5382.87203726175,172.9166508203837,607.62522992148,66.45856218250023,216.280056489209,55.052572477139016,249.012709618735,82.53487043750943,271.179879202518,86.15491789055422,296.718319053054,97.80117680929155,381.464848618036,101.86934181097484,400.713867656651
Subj_01_Isokin_L_02kg_60bpm_EMG_data.csv,0,1.320068359375,1.309814453125,1.320068359375,0,0,0.001281821142165064,0.00046958364356911573,0.0022885324,-0.0011503553963445512,0.00045807796459607824,0.0022593499,-0.001401946618434295,0.00035673458893901495,0.002550316,-0.0020530693132371795,0.00039869976952985463,0.0037447931,-0.005833053351732372,0.00012594390327941987,0.0068284036,-0.005445108962613782,0.00015048774933772906,0.0064232829,-0.0016145283103092948,0.0002587182264606087,0.0030489923,6.402880725000002e-05,0.00028476503014274743,0.0016845703,92.71508396036012,331.659223547561,104.39977544481835,413.62145335774,77.44059978296858,360.591468206278,75.85451382400966,365.348346738382,79.25637145306752,300.465697886783,79.65675560982382,306.270643090408,97.53671334885483,329.598536465159,87.69543982978661,300.277124402354
Subj_01_Isokin_L_02kg_80bpm_EMG_data.csv,0,1.360107421875,1.35986328125,1.3701171875,0,0,0.0018333626696039216,0.0001633875777814228,0.0025331499,-0.001057355030772549,0.0002153612023508008,0.0023732185,-0.0016190346341509803,0.0004102690173838319,0.0027113915,-0.0022556616820921566,0.0004351280119551594,0.0033751489,-0.006229061235933333,0.00017279156398369175,0.0068673138,-0.005731069393737255,0.0002319402633850732,0.006591225,-0.0015404684772705884,0.00023550482770634497,0.0031637193,-0.00025773042686666665,0.0002085698501561998,0.0024407387,92.1425827088219,364.857502805831,101.97823430222282,506.689858689351,87.21579350342917,301.711349653996,89.12473591291378,329.260353854221,91.13133119007642,392.076905011235,91.83695384901878,425.216867400464,105.86205340211495,337.555722546232,101.57363410627606,350.22980553032
Subj_01_Isokin_L_02kg_St_EMG_data.csv,0,1.2900390625,1.289794921875,1.300048828125,0,0,-0.00029448244335111113,0.0006274980189822875,0.0020204545,-0.0023597293458370366,0.00038344779908592225,0.0034295083,-0.0009564572925007408,0.00031435683891300483,0.0018101693,-0.001077023760868148,0.0007363914398731658,0.0032790184,-0.0066162183951999996,0.0003815045862765452,0.0072833062,-0.006549003359662222,0.0003209736415834149,0.0071302415,-0.0012130148681214815,0.00020857999185139103,0.0022687912,0.00046943384211555557,0.00021436879499821704,0.0015060426,76.89298631350712,246.386729258917,79.38142345031466,259.015527510319,51.2852430763644,162.622470079685,45.03363324630758,148.010274130134,65.05006524207604,188.798386586683,65.35391703646252,206.332242041018,71.78516943912827,194.65283464937,71.08604881535962,238.528682641596
Subj_01_Isokin_L_04kg_40bpm_EMG_data.csv,0,1.280029296875,1.269775390625,1.280029296875,0,0,0.0013394923150641374,0.0003626506396241737,0.002310276,-0.001264665523857272,0.00018115844454232017,0.0024181367,5.902315378139116e-05,0.00045693909055720926,0.0020891191,-0.0005267422601969286,0.0007020433904448566,0.0054628374,-0.006449254210914183,0.0002178425201804331,0.0073325159,-0.0051156226267244816,0.00020951133991063247,0.0060419086,-0.00011357235521047876,0.0003343172243296417,0.0023929598,0.0014690936106052394,0.00032293301502446135,0.0039133076,125.3962640301962,534.897618544509,143.891066056335,632.585831973175,151.43654928153126,714.672217353105,149.33717832525528,854.103390929014,115.70503904368866,395.424101071094,115.69006697060435,387.725810645056,146.0545518948197,511.712660265838,138.80930847062427,466.010513442779
Subj_01_Isokin_L_04kg_60bpm_EMG_data.csv,0,1.31005859375,1.31005859375,1.31982421875,0,0,0.0007896067934795008,0.000199046141761427,0.0015232087,-0.001316350907060606,0.0002385575939327836,0.0024787905,-0.0005288880465793227,0.00047431960205210924,0.0021577836,-0.0017494636770178252,0.0006212700605932854,0.005131817,-0.006173738131532976,0.00013280335380170955,0.0070850374,-0.004984384987461675,0.00026191676109146395,0.0063343053,-0.0008926212180552585,0.00034902501832665236,0.0034724236,0.0007838984198912655,0.0002793738157747955,0.0024587633,122.11669829087893,481.092901407176,147.07634332579363,513.392002907877,138.25951078052245,576.287633120659,167.5925494940098,801.520097075698,130.2652666957368,538.840616337155,126.7855199923476,473.120847232688,152.12441862967785,496.111669558229,139.0527104036649,474.834893139892
Subj_01_Isokin_L_04kg_80bpm_EMG_data.csv,0,1.260009765625,1.259765625,1.27001953125,0,0,0.0006906304887145708,0.00014340370944934485,0.0013936043,-0.0020584891116666665,0.00029712877955186394,0.0031225206,-0.0006867425210918163,0.0004743242539425321,0.0020353319,-0.0020222693586826345,0.0005432938809122487,0.0052087787,-0.006430201889680639,0.0001795860318501897,0.0074689868,-0.005150698887718563,0.000184696537244733,0.0062856679,-0.0009616662471377246,0.0003101197806946196,0.003926754,0.0006430917696866268,0.0002762780273299174,0.0023091317,122.80986182809413,541.298935014386,144.1897817652194,611.695477612061,164.34916368389912,750.896655576466,171.67088970944283,783.534445183909,117.39443118325154,420.994403664209,115.4311797434275,493.415792836217,159.53755112034426,515.579347587252,154.09814795490016,417.694219609713
Subj_01_Isokin_L_04kg_St_EMG_data.csv,0,1.340087890625,1.33984375,1.35009765625,0,0,0.0012869104010530972,0.0004881354935798908,0.0020510675,-0.0004923738152979351,0.00021082398231630185,0.0013495446,0.0014723556466017698,0.00040024966183744415,0.0028819086,0.0015156034406312684,0.001048407620644303,0.0048276903,-0.0060381767786814155,0.0002775006911232636,0.0070661549,-0.006177522426088495,0.0003550698318289239,0.0074183466,0.0010019859265840707,0.00021553703916231927,0.0020956993,0.0029256496850383483,0.00023854900258532243,0.0041487697,94.19427943749042,319.833726850861,110.6549491077359,342.621588588014,99.21300906210301,312.244130218821,92.67204850975891,337.7995870042,105.78033833670014,360.878908544449,103.61713544420613,340.824543817332,111.67427845045584,369.426687957323,108.12210155166295,309.583789843506
Subj_01_Isokin_R_02kg_40bpm_EMG_data.csv,0,1.300048828125,1.289794921875,1.300048828125,0,0,-0.0060786112929845934,0.0022197650751705927,0.0118543627,-0.0041544192267156865,0.0018700594689678024,0.0099580772,-0.0032182948309229693,0.001988304617618594,0.0080984123,-0.003934252141830533,0.0015900832623726726,0.00927372,-0.011941810577438376,0.0017102587796052502,0.0169595722,-0.012590660329658263,0.0016128168076541692,0.0177480709,-0.005116120522242297,0.0017608161377273843,0.0104261404,-0.0013702947781246498,0.0018875000873448283,0.0070598605,73.96245719081747,505.777359507681,84.37973501782118,581.460011572519,56.96163046907921,385.551794117104,80.71625593565088,462.579605064474,36.04292105333366,261.289421074829,36.47937873378526,290.284509173324,66.67118102639563,231.330779272537,70.97264927711146,291.605920155284
Subj_01_Isokin_R_02kg_60bpm_EMG_data.csv,0,1.2900390625,1.27978515625,1.2900390625,0,0,-0.0025063945812284264,0.0005212934642947582,0.0043493272,-0.0001428976160642978,0.00033711655853711916,0.001227665,-0.002467716532379019,0.0006192139797396543,0.0035433772,-0.0004088609802978004,0.0006490575561818773,0.0023494721,-0.007105355996783418,0.0003169755998303616,0.0080366135,-0.007433332483607445,0.0002770348612434182,0.0081790928,-0.0012786906640981388,0.0004443269129167928,0.0028006556,0.0018528985836632826,0.0003951757627789103,0.0039662365,64.63622403778236,223.754805276813,82.56334733312764,308.393464485572,71.11096511349515,459.388448002893,84.49548157641897,394.075383864868,37.643393770857664,139.38360936294,38.55609075071886,119.820494910345,64.15509711924773,208.627479434894,70.20957552583619,234.699924936459
